,"Mark","Father_cond","Father_mark","Area","PerturbationResistant","InitStatus","Description","From_to"
,"1","ORPHAN","NULL","area1","1",,,
,"2","SINGLE","1","area1","1","1","isolation_A",
,"3","SINGLE","1","area1","1","1","isolation_A",
,"4","SINGLE","2","area1","1",,,
,"5","SINGLE","3","area1","1",,,
,"6","SINGLE","4","area4","0",,,
,"6","SINGLE","7","area4","0",,,
,"7","SINGLE","6","area4","0",,,
,"8","SINGLE","6","area4","0",,,
,"6","SINGLE","8","area4","0",,,
,"9","OR","8","area3","0",,,"SOURCE"
,"9","OR","15","area3","0",,,"SOURCE"
,"15","ORPHAN","NULL","area3","0",,,
,"16","SINGLE","9","area3","0",,,
,"16","SINGLE","17","area3","0",,,
,"17","SINGLE","16","area3","0",,,
,"10","SINGLE","17","area3","0",,,
,"11","AND","10","area2","0",,,
,"11","AND","5","area2","0",,,
,"19","SINGLE","11","area2","0",,,
,"19","SINGLE","12","area2","0",,,
,"19","SINGLE","14","area2","0",,,
,"12","SINGLE","19","area2","0",,,
,"12","SINGLE","13","area2","0",,,
,"13","SINGLE","14","area2","0",,,
,"13","SINGLE","12","area2","0",,,
,"14","SINGLE","19","area2","0",,,
,"14","SINGLE","13","area2","0",,,
,"18","SINGLE","14","area2","0",,,"TARGET"
