Mark,Description,InitStatus,IntermediateStatus,FinalStatus,Mark_Status,PerturbationResistant,Room,Status_Room,closeness_centrality,betweenness_centrality,indegree_centrality,original_local_eff,final_local_eff,original_global_eff,final_global_eff,original_avg_global_eff,final_avg_global_eff
1,,, , ,NOT_ACTIVE,1,room1,AVAILABLE,0,0.0,0,0.17437369729036395, ,0.3213624338624339, ,0.17591917504198207,0.16783899399640143
2,isolation_A,1,0, ,ACTIVE,1,room1,AVAILABLE,0.05555555555555555,0.05161290322580645,0.05555555555555555,0.20222663139329808,0.21412231559290384,0.19689554272887605,0.20847763347763348,0.17591917504198207,0.16783899399640143
3,isolation_A,1,0, ,ACTIVE,1,room1,AVAILABLE,0.05555555555555555,0.04516129032258064,0.05555555555555555,0.14814814814814814,0.1568627450980392,0.15185185185185185,0.1607843137254902,0.17591917504198207,0.16783899399640143
4,,, , ,ACTIVE,1,room1,AVAILABLE,0.07407407407407407,0.12903225806451613,0.05555555555555555,0.22583774250440916,0.2391223155929038,0.20222663139329808,0.21412231559290384,0.17591917504198207,0.16783899399640143
5,,, , ,ACTIVE,1,room1,AVAILABLE,0.07407407407407407,0.07741935483870968,0.05555555555555555,0.14814814814814817,0.15686274509803924,0.14814814814814814,0.1568627450980392,0.17591917504198207,0.16783899399640143
6,,, , ,ACTIVE,0,room4,AVAILABLE,0.1736111111111111,0.2709677419354839,0.16666666666666666,0.21182760141093476,0.22428804855275447,0.22583774250440916,0.2391223155929038,0.17591917504198207,0.16783899399640143
7,,, , ,ACTIVE,0,room4,AVAILABLE,0.11574074074074076,0.0,0.05555555555555555,0.22583774250440916,0.2391223155929038,0.1744488536155203,0.18471055088702149,0.17591917504198207,0.16783899399640143
8,,, , ,ACTIVE,0,room4,AVAILABLE,0.11574074074074076,0.2838709677419355,0.05555555555555555,0.1935405643738977,0.2049253034547152,0.24920634920634926,0.26386554621848746,0.17591917504198207,0.16783899399640143
9,,, , ,ACTIVE,0,room3,AVAILABLE,0.14327485380116958,0.36774193548387096,0.1111111111111111,0.15648148148148147,0.16568627450980392,0.16124338624338622,0.1707282913165266,0.17591917504198207,0.16783899399640143
15,,, , ,ACTIVE,0,room3,AVAILABLE,0,0.0,0,0.16124338624338622,0.1707282913165266,0.16587301587301584,0.17563025210084032,0.17591917504198207,0.16783899399640143
16,,, , ,ACTIVE,0,room3,AVAILABLE,0.16071428571428573,0.3741935483870968,0.1111111111111111,0.20740740740740743,0.21960784313725493,0.15648148148148147,0.16568627450980392,0.17591917504198207,0.16783899399640143
17,,, , ,ACTIVE,0,room3,AVAILABLE,0.125,0.36774193548387096,0.05555555555555555,0.1523148148148148,0.16127450980392155,0.20740740740740743,0.21960784313725493,0.17591917504198207,0.16783899399640143
10,,, , ,ACTIVE,0,room3,AVAILABLE,0.12077294685990338,0.34838709677419355,0.05555555555555555,0.14814814814814817,0.15686274509803924,0.14814814814814814,0.1568627450980392,0.17591917504198207,0.16783899399640143
11,,, , ,ACTIVE,0,room2,AVAILABLE,0.17386831275720163,0.41935483870967744,0.1111111111111111,0.16666666666666666,0.17647058823529413,0.14814814814814817,0.15686274509803924,0.17591917504198207,0.16783899399640143
19,,, , ,ACTIVE,0,room2,AVAILABLE,0.22299382716049382,0.38064516129032255,0.16666666666666666,0.17592592592592593,0.18627450980392157,0.16666666666666666,0.17647058823529413,0.17591917504198207,0.16783899399640143
12,,, , ,ACTIVE,0,room2,AVAILABLE,0.1866925064599483,0.1032258064516129,0.1111111111111111,0.16666666666666666,0.17647058823529413,0.1574074074074074,0.16666666666666669,0.17591917504198207,0.16783899399640143
14,,, , ,ACTIVE,0,room2,AVAILABLE,0.1866925064599483,0.10967741935483871,0.1111111111111111,0.1111111111111111,0.11764705882352942,0.19444444444444445,0.20588235294117646,0.17591917504198207,0.16783899399640143
13,,, , ,ACTIVE,0,room2,AVAILABLE,0.16055555555555556,0.0,0.1111111111111111,0.17592592592592593,0.18627450980392157,0.16666666666666666,0.17647058823529413,0.17591917504198207,0.16783899399640143
18,,, , ,ACTIVE,0,room2,AVAILABLE,0.17307692307692307,0.0,0.05555555555555555,0,0,0.0,0.0,0.17591917504198207,0.16783899399640143
